Nivel,Frase
A1,"Bonjour, comment ça va?"
A1,Je m'appelle Jean.
A1,J'habite à Paris.
A1,J'ai 20 ans.
A1,Où sont les toilettes?
A1,Ça va?
A1,C'est mon ami.
A1,J'aime la pizza.
A1,"Aujourd'hui, c'est lundi."
A1,Quel jour sommes-nous?
A1,J'ai une sœur.
A1,Où habites-tu?
A1,Je travaille dans un bureau.
A1,Ma couleur préférée est le bleu.
A1,Veux-tu un café?
A1,J'adore l'été.
A1,C'est très beau ici.
A1,Aimes-tu la musique?
A1,Allons au parc.
A1,Je suis fatigué.
A2,J'aime beaucoup le football.
A2,"Peux-tu m'aider, s'il te plaît?"
A2,J'apprends le français.
A2,Quelle heure est-il?
A2,Je vais au supermarché.
A2,Je dois acheter du pain.
A2,Où est la pharmacie?
A2,Quel est ton film préféré?
A2,Je ne comprends pas.
A2,Je me lève à sept heures.
A2,"Hier, c'était une longue journée."
A2,J'aime lire des livres.
A2,Peux-tu répéter?
A2,Il pleut beaucoup.
A2,Comment dit-on cela en français?
A2,Je vais voyager en France.
A2,C'est une bonne idée.
A2,Qu'en penses-tu?
A2,Je me sens malade.
A2,"Aujourd'hui, c'est mon anniversaire."
B1,J'aimerais voyager au Mexique.
B1,Je travaille comme ingénieur.
B1,Quel est ton plat préféré?
B1,Le temps est très agréable aujourd'hui.
B1,Je lis un livre intéressant.
B1,J'aime faire du shopping.
B1,Je dois étudier pour l'examen.
B1,Allons dîner dehors ce soir.
B1,Que penses-tu de ce sujet?
B1,Je suis très excité pour les vacances.
B1,C'est mon restaurant préféré.
B1,As-tu déjà été dans un autre pays?
B1,Je cherche un nouveau travail.
B1,Que fais-tu pendant ton temps libre?
B1,J'aime regarder des séries sur Netflix.
B1,Il est important de protéger l'environnement.
B1,Quel est ton sport préféré?
B1,J'économise de l'argent pour une voiture.
B1,As-tu un animal de compagnie?
B1,Faisons de l'exercice ensemble.
B2,As-tu vu le dernier film de Marvel?
B2,La technologie progresse rapidement.
B2,J'aime cuisiner le week-end.
B2,Que penses-tu du changement climatique?
B2,L'économie mondiale change constamment.
B2,Je planifie mon prochain voyage.
B2,Je suis intéressé par l'apprentissage de nouvelles langues.
B2,Crois-tu à la vie extraterrestre?
B2,La musique classique est très relaxante.
B2,J'aime visiter les musées.
B2,L'art contemporain est fascinant.
B2,La lecture est une excellente façon de se détendre.
B2,Je suis inquiet pour l'avenir de la planète.
B2,Que penses-tu de l'intelligence artificielle?
B2,Il est important de mener une vie saine.
B2,Les progrès médicaux sont impressionnants.
B2,Je suis intéressé par l'histoire mondiale.
B2,L'éducation est essentielle pour le progrès.
B2,Aimes-tu la philosophie?
B2,L'espace est le dernier grand mystère.
C1,La biotechnologie révolutionne la médecine.
C1,Le changement climatique est un défi mondial.
C1,L'intelligence artificielle peut transformer les industries.
C1,L'exploration spatiale est cruciale pour l'humanité.
C1,La politique internationale est très complexe.
C1,L'économie durable est l'avenir.
C1,L'innovation technologique est inarrêtable.
C1,La diversité culturelle enrichit nos vies.
C1,La littérature classique offre une vision du passé.
C1,L'éthique dans la technologie est un sujet important.
C1,La mondialisation affecte tous les aspects de la vie.
C1,La biodiversité est essentielle à la survie.
C1,L'intelligence émotionnelle est la clé du leadership.
C1,La robotique avancée change la fabrication.
C1,La cybersécurité est une priorité à l'ère numérique.
C1,La nanotechnologie promet de grandes avancées.
C1,La coopération internationale est vitale pour la paix.
C1,L'éducation en ligne démocratise l'apprentissage.
C1,L'économie numérique évolue constamment.
C1,L'éthique des affaires est cruciale pour le succès à long terme.
