Nivel,Frase
A1,"Hola, ¿cómo estás?"
A1,Me llamo Juan.
A1,Vivo en Madrid.
A1,Tengo 20 años.
A1,¿Dónde está el baño?
A1,¿Qué tal?
A1,Este es mi amigo.
A1,Me gusta la pizza.
A1,Hoy es lunes.
A1,¿Qué día es hoy?
A1,Tengo una hermana.
A1,¿Dónde vives?
A1,Trabajo en una oficina.
A1,Mi color favorito es el azul.
A1,¿Quieres un café?
A1,Me encanta el verano.
A1,Es muy bonito aquí.
A1,¿Te gusta la música?
A1,Vamos al parque.
A1,Estoy cansado.
A2,Me gusta mucho el fútbol.
A2,"¿Puedes ayudarme, por favor?"
A2,Estoy aprendiendo español.
A2,¿Qué hora es?
A2,Voy al supermercado.
A2,Necesito comprar pan.
A2,¿Dónde está la farmacia?
A2,¿Cuál es tu película favorita?
A2,No entiendo esto.
A2,Me levanto a las siete.
A2,Ayer fue un día largo.
A2,Me gusta leer libros.
A2,¿Puedes repetir eso?
A2,Está lloviendo mucho.
A2,¿Cómo se dice esto en español?
A2,Voy a viajar a España.
A2,Es una buena idea.
A2,¿Qué te parece?
A2,Me siento enfermo.
A2,Es mi cumpleaños hoy.
B1,Me gustaría viajar a México.
B1,Trabajo como ingeniero.
B1,¿Cuál es tu comida favorita?
B1,El clima hoy es muy agradable.
B1,Estoy leyendo un libro interesante.
B1,Me encanta ir de compras.
B1,Tengo que estudiar para el examen.
B1,Vamos a cenar fuera esta noche.
B1,¿Qué piensas sobre este tema?
B1,Estoy muy emocionado por las vacaciones.
B1,Este es mi restaurante favorito.
B1,¿Has estado en otro país?
B1,Estoy buscando un nuevo trabajo.
B1,¿Qué haces en tu tiempo libre?
B1,Me encanta ver series en Netflix.
B1,Es importante cuidar el medio ambiente.
B1,¿Cuál es tu deporte favorito?
B1,Estoy ahorrando dinero para un coche.
B1,¿Tienes alguna mascota?
B1,Vamos a hacer ejercicio juntos.
B2,¿Has visto la última película de Marvel?
B2,La tecnología está avanzando rápidamente.
B2,Me encanta cocinar los fines de semana.
B2,¿Qué piensas sobre el cambio climático?
B2,La economía global está cambiando constantemente.
B2,Estoy planeando mi próximo viaje.
B2,Me interesa aprender nuevos idiomas.
B2,¿Crees en la vida extraterrestre?
B2,La música clásica es muy relajante.
B2,Me gusta visitar museos.
B2,El arte contemporáneo es fascinante.
B2,La lectura es una excelente manera de relajarse.
B2,Me preocupa el futuro del planeta.
B2,¿Qué opinas de la inteligencia artificial?
B2,Es esencial mantener una vida saludable.
B2,Los avances médicos son impresionantes.
B2,Estoy interesado en la historia mundial.
B2,La educación es fundamental para el progreso.
B2,¿Te gusta la filosofía?
B2,El espacio es el último gran misterio.
C1,La biotecnología está revolucionando la medicina.
C1,El cambio climático es un desafío global.
C1,La inteligencia artificial puede transformar industrias.
C1,La exploración espacial es crucial para la humanidad.
C1,La política internacional es muy compleja.
C1,La economía sostenible es el futuro.
C1,La innovación tecnológica es imparable.
C1,La diversidad cultural enriquece nuestras vidas.
C1,La literatura clásica ofrece una visión del pasado.
C1,La ética en la tecnología es un tema importante.
C1,La globalización afecta a todos los aspectos de la vida.
C1,La biodiversidad es esencial para la supervivencia.
C1,La inteligencia emocional es clave para el liderazgo.
C1,La robótica avanzada está cambiando la manufactura.
C1,La ciberseguridad es una prioridad en la era digital.
C1,La nanotecnología promete grandes avances.
C1,La cooperación internacional es vital para la paz.
C1,La educación en línea está democratizando el aprendizaje.
C1,La economía digital está en constante evolución.
C1,La ética empresarial es crucial para el éxito a largo plazo.
